,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,Q_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,0,0,0,10,1,10,0,12.0,12,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,2.43919e-25,0.994828,0.994828,6.20367e-05,4.72552e-31,8.63194e-30,0.101573
1,1,0,0,0,0,0,0,10,1,20,1,,12,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,4.7221e-25,0.994828,0.994828,6.2039e-05,7.85381e-31,1.07998e-29,0.101573
2,1,0,0,0,0,0,0,10,1,30,2,,12,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,2.37574e-25,0.994828,0.994828,6.20392e-05,1.93032e-30,5.91479e-30,0.101573
3,1,0,0,0,0,0,0,10,1,40,3,,12,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,2.3547e-25,0.994828,0.994828,6.20391e-05,2.21409e-30,6.11238e-30,0.101573
4,1,0,0,0,0,0,0,10,1,50,4,,12,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,2.09052e-25,0.994828,0.994828,6.20392e-05,2.73888e-30,2.38035e-30,0.101573
5,1,0,0,0,0,0,0,10,1,60,5,,12,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,1.6007e-25,0.994828,0.994828,6.20393e-05,1.51952e-30,4.91225e-30,0.101573
6,1,0,0,0,0,0,0,10,1,70,6,,12,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,2.50435e-25,0.994828,0.994828,6.20393e-05,2.50325e-30,6.287e-30,0.101573
