,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,0,0,0,10,1,10,0,12.0,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1.0,1.0,3.54995e-05,0.994828,0.994828,6.20382e-05,5.02619e-06,2.04909e-05,0.101573
1,1,0,0,0,0,0,0,10,1,20,1,12.0,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1.0,1.0,5.79639e-06,0.994862,0.994794,6.20382e-05,0.0,1.97317e-05,0.101573
2,1,0,0,0,0,0,0,10,1,30,2,12.0,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1.0,1.0,5.79639e-06,0.994828,0.994828,6.20384e-05,0.0,1.97317e-05,0.101573
3,1,0,0,0,0,0,0,10,1,40,3,12.0,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1.0,1.0,5.79639e-06,0.994828,0.994828,6.20384e-05,0.0,1.97317e-05,0.101573
4,1,0,0,0,0,0,0,10,1,50,4,12.0,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1.0,1.0,5.79639e-06,0.994828,0.994828,6.20384e-05,0.0,1.97317e-05,0.101573
5,1,0,0,0,0,0,0,10,1,60,5,12.0,100.0,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1.0,1.0,5.79639e-06,0.994828,0.994828,6.20384e-05,0.0,1.97317e-05,0.101573
6,1,0,0,0,0,0,0,10,1,70,6,,,,,,,,,,,,,,,,,
