,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,Q_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,0.0,0.0,0,10,1,10,0,15.0,12,99.9996987574,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,8.32583e-25,0.994946,0.994946,6.22873e-05,7.65089e-23,1.86364e-27,0.100414
1,1,0,0,0,0.0,0.0,0,10,1,20,1,,12,98.8587925191,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,1.17267e-26,0.994828,0.994828,6.20365e-05,8.12128e-30,2.90781e-26,0.101573
2,1,0,0,0,0.0,0.0,0,10,1,30,2,,12,98.8587925191,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,6.96065e-26,0.994828,0.994828,6.20389e-05,3.31788e-30,8.54809e-26,0.101573
3,1,0,0,0,0.0,0.0,0,10,1,40,3,,12,98.8587925191,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,2.9374e-26,0.994828,0.994828,6.20387e-05,6.48034e-30,3.65188e-29,0.101573
4,1,0,0,0,0.0,0.0,0,10,1,50,4,,12,98.8587925191,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,1.61338e-28,0.994828,0.994828,6.20386e-05,2.22301e-30,2.75994e-29,0.101573
5,1,0,0,0,0.0,0.0,0,10,1,60,5,,12,98.8588929334,0.101573,0.101573,0.101573,0.101573,0.101573,0.101573,1,1,5.27956e-26,0.994828,0.994828,6.20388e-05,4.45745e-30,1.02477e-28,0.101573
