T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1606719276,10.0461,10.0461,9.99619,9.99619,1,1,1,1,1,1,1,0.000628149,9.52621e-21,8.05425e-22,1.07238e-24,0.0995413,0.0995413,0.0995413,0.0995413,0.0995413,0.0995413,1,1,8.01731e-23,0.995033,0.995033,6.25267e-05,9.48251e-22,1.06746e-25,0.0995413
1606719277,10.0461,10.0461,9.99617,9.99617,1,1,1,1,1,1,1,0.000627792,9.94862e-21,3.68344e-23,1.64996e-25,0.0995415,0.0995415,0.0995415,0.0995415,0.0995415,0.0995415,1,1,3.66655e-24,0.995033,0.995033,6.24914e-05,9.903e-22,1.64239e-26,0.0995415
1606719278,10.5049,10.5049,10.4572,10.4572,1,1,1,1,1,1,1,0.000666207,2.5827e-20,9.94255e-23,1.43282e-24,0.095194,0.095194,0.095194,0.095194,0.095194,0.095194,1,1,9.4647e-24,0.995459,0.995459,6.34188e-05,2.45858e-21,1.36396e-25,0.095194
1606719279,10.6265,10.6265,10.5793,10.5793,1,1,1,1,1,1,1,0.000678044,1.56833e-20,2.25541e-23,1.8144e-24,0.0941046,0.0941046,0.0941046,0.0941046,0.0941046,0.0941046,1,1,2.12244e-24,0.995562,0.995562,6.3807e-05,1.47587e-21,1.70743e-25,0.0941046
1606719280,10.6264,10.6264,10.5793,10.5793,1,1,1,1,1,1,1,0.00067737,1.13191e-20,4.41757e-21,1.43226e-24,0.094105,0.094105,0.094105,0.094105,0.094105,0.094105,1,1,1.06518e-21,0.995562,0.995562,6.37439e-05,4.15715e-22,1.34782e-25,0.094105
1606719281,10.6264,10.6264,10.5792,10.5792,1,1,1,1,1,1,1,0.000676881,8.78834e-21,7.56869e-22,3.78986e-25,0.0941054,0.0941054,0.0941054,0.0941054,0.0941054,0.0941054,1,1,8.27031e-22,0.995562,0.995562,6.36982e-05,7.12255e-23,3.56646e-26,0.0941054
1606719282,10.6263,10.6263,10.5792,10.5792,1,1,1,1,1,1,1,0.000677675,5.40679e-21,2.22863e-21,2.49345e-25,0.0941059,0.0941059,0.0941059,0.0941059,0.0941059,0.0941059,1,1,5.08811e-22,0.995562,0.995562,6.37733e-05,2.09728e-22,2.34649e-26,0.0941059
1606719283,10.6263,10.6263,10.5791,10.5791,1,1,1,1,1,1,1,0.000676903,1.89361e-20,1.90987e-21,5.50374e-25,0.0941065,0.0941065,0.0941065,0.0941065,0.0941065,0.0941065,1,1,1.78201e-21,0.995562,0.995562,6.3701e-05,1.79731e-22,5.17938e-26,0.0941065
1606719284,10.6262,10.6262,10.579,10.579,1,1,1,1,1,1,1,0.000676902,8.34511e-21,3.95841e-22,1.06161e-24,0.094107,0.094107,0.094107,0.094107,0.094107,0.094107,1,1,7.85334e-22,0.995562,0.995562,6.37013e-05,3.72514e-23,9.99053e-26,0.094107
1606719285,10.6261,10.6261,10.579,10.579,1,1,1,1,1,1,1,0.000676456,1.087e-20,9.33189e-22,2.2797e-25,0.0941077,0.0941077,0.0941077,0.0941077,0.0941077,0.0941077,1,1,8.78202e-23,0.995562,0.995562,6.36597e-05,1.02295e-21,2.14537e-26,0.0941077
