T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1606610928,46.9657,46.8117,42.2451,42.0124,20.647,20.608,4.24264,4.24264,4.24264,4.24264,4.24264,4.24264,4.24264,1.88823,0.0119398,0.0903349,0.0903349,0.0903349,0.0903349,0.0903349,0.0903349,0.899489,1,0.438789,0.894534,0.996723,0.439619,0.0402044,0.000254224,0.0903349
1606610929,48.2396,48.0826,43.1728,42.9385,21.6385,21.6114,4.3589,4.3589,4.3589,4.3589,4.3589,4.3589,4.3589,1.96912,0.0127487,0.0903593,0.0903593,0.0903593,0.0903593,0.0903593,0.0903593,0.894964,1,0.448001,0.890108,0.996745,0.448563,0.0408194,0.000264278,0.0903593
1606610930,49.3933,49.232,44.155,43.9189,22.2467,22.2288,4.47214,4.47214,4.47214,4.47214,4.47214,4.47214,4.47214,2.02231,0.0131808,0.0905414,0.0905414,0.0905414,0.0905414,0.0905414,0.0905414,0.893948,1,0.450037,0.889167,0.996734,0.4504,0.0409431,0.000266854,0.0905414
1606610931,50.519,50.3532,45.1494,44.9122,22.7671,22.7592,4.58258,4.58258,4.58258,4.58258,4.58258,4.58258,4.58258,2.06926,0.0136001,0.09071,0.09071,0.09071,0.09071,0.09071,0.09071,0.893712,1,0.450507,0.889017,0.996719,0.450664,0.04096,0.000269207,0.09071
1606610932,51.555,51.3841,46.1648,45.9223,23.0537,23.0464,4.69042,4.69042,4.69042,4.69042,4.69042,4.69042,4.69042,2.09936,0.0136537,0.0909788,0.0909788,0.0909788,0.0909788,0.0909788,0.0909788,0.895447,1,0.447026,0.890743,0.996685,0.447167,0.0407208,0.000264837,0.0909788
1606610933,52.5689,52.3928,47.1721,46.9264,23.3008,23.2981,4.79583,4.79583,4.79583,4.79583,4.79583,4.79583,4.79583,2.12643,0.0137865,0.0912295,0.0912295,0.0912295,0.0912295,0.0912295,0.0912295,0.897339,1,0.443192,0.892664,0.996651,0.443243,0.0404504,0.000262255,0.0912295
1606610934,53.5174,53.3357,48.1763,47.9251,23.4069,23.4039,4.89898,4.89898,4.89898,4.89898,4.89898,4.89898,4.89898,2.14291,0.0138106,0.09154,0.09154,0.09154,0.09154,0.09154,0.09154,0.9002,1,0.437314,0.895506,0.996606,0.437371,0.0400414,0.000258058,0.09154
1606610935,54.4494,54.2622,49.1651,48.9087,23.5017,23.4986,5,5,5,5,5,5,5,2.15815,0.013836,0.0918285,0.0918285,0.0918285,0.0918285,0.0918285,0.0918285,0.902951,1,0.431568,0.898242,0.996563,0.431625,0.039636,0.000254107,0.0918285
1606610936,55.3388,55.146,50.1377,49.8768,23.5242,23.5222,5.09902,5.09902,5.09902,5.09902,5.09902,5.09902,5.09902,2.16756,0.0138627,0.0921419,0.0921419,0.0921419,0.0921419,0.0921419,0.0921419,0.906013,1,0.425058,0.901299,0.996516,0.425093,0.0391689,0.000250506,0.0921419
1606610937,56.2142,56.0158,51.0929,50.8275,23.5445,23.5433,5.19615,5.19615,5.19615,5.19615,5.19615,5.19615,5.19615,2.17635,0.0138843,0.0924349,0.0924349,0.0924349,0.0924349,0.0924349,0.0924349,0.908897,1,0.418814,0.904175,0.996471,0.418835,0.0387153,0.000246989,0.0924349
