,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0.0,0,0,1.5,0.0,0,10,1,10,0,15.0,99.73133184,0.100459,0.100459,0.100459,0.100459,0.100459,0.100459,0.999844,1.0,0.0185303,0.99495,0.994798,0.0173575,9.05301e-05,0.00175331,0.100459
1,1,6.0,0,0,0.0,0.0,0,10,1,20,1,15.0,100.0,0.100189,0.100189,0.100189,0.100189,0.100189,0.100189,0.995065,0.997391,0.068697,1.0,0.98488,0.0428456,0.00667716,0.00396058,0.10019
2,1,12.0,0,0,0.0,0.0,0,10,1,30,2,15.0,99.7389356559,0.100451,0.100451,0.100451,0.100451,0.100451,0.100451,0.997668,1.0,0.0688767,0.994979,0.992812,0.0656218,0.00669463,0.00397094,0.100452
3,1,18.0,0,0,0.0,0.0,0,10,1,40,3,15.0,99.7389356559,0.100451,0.100451,0.100451,0.100451,0.100451,0.100451,0.997668,1.0,0.0688767,0.994979,0.992812,0.0656218,0.00669463,0.00397094,0.100452
4,1,24.0,0,0,0.0,0.0,0,10,1,50,4,15.0,99.7389356559,0.100451,0.100451,0.100451,0.100451,0.100451,0.100451,0.997668,1.0,0.0688767,0.994979,0.992812,0.0656218,0.00669463,0.00397094,0.100452
5,1,30.0,0,0,0.0,0.0,0,10,1,60,5,15.0,99.7389356559,0.100451,0.100451,0.100451,0.100451,0.100451,0.100451,0.997668,1.0,0.0688767,0.994979,0.992812,0.0656218,0.00669463,0.00397094,0.100452
6,1,36.0,0,0,0.0,0.0,0,10,1,70,6,,,,,,,,,,,,,,,,,
