T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1606610946,46.8507,44.1497,43.9744,43.7436,23.3786,16.1635,4.12311,4.12311,4.12311,4.12311,4.12311,4.12311,4.10733,3.37234,1.87084,0.0880053,0.0880053,0.0880053,0.0880053,0.0880053,0.0880053,0.942349,0.933681,0.499003,1,0.938609,0.345,0.0399321,0.0719805,0.0876687
1606610947,48.5818,45.7706,45.6774,44.9529,24.9618,16.5469,4.24264,4.24264,4.24264,4.24264,4.24264,4.24264,4.22757,3.70425,2.00409,0.0873298,0.0873298,0.0873298,0.0873298,0.0873298,0.0873298,0.942135,0.925303,0.513809,1,0.940215,0.340599,0.0412518,0.0762477,0.0870195
1606610948,50.2549,47.3796,47.3409,46.1054,26.4274,16.865,4.3589,4.3589,4.3589,4.3589,4.3589,4.3589,4.34877,3.96846,2.13042,0.0867358,0.0867358,0.0867358,0.0867358,0.0867358,0.0867358,0.942785,0.917431,0.525868,1,0.942015,0.335589,0.0423923,0.0789666,0.0865343
1606610949,51.8752,48.9647,48.8594,47.3329,27.7858,17.1325,4.47214,4.47214,4.47214,4.47214,4.47214,4.47214,4.46894,4.17152,2.24533,0.0862095,0.0862095,0.0862095,0.0862095,0.0862095,0.0862095,0.941864,0.912438,0.535628,1,0.943895,0.330264,0.0432833,0.0804145,0.0861479
1606610950,53.4472,50.5495,50.1866,48.6669,29.0494,17.3603,4.58258,4.58258,4.58258,4.58258,4.58258,4.58258,4.58257,4.32637,2.34283,0.0857403,0.0857403,0.0857403,0.0857403,0.0857403,0.0857403,0.910561,0.938994,0.543516,1,0.945785,0.324812,0.0438345,0.0809468,0.0857402
1606610951,54.9746,52.0964,51.3707,50.1004,30.2303,17.5561,4.69042,4.69042,4.69042,4.69042,4.69042,4.69042,4.68701,4.44588,2.41827,0.0853196,0.0853196,0.0853196,0.0853196,0.0853196,0.0853196,0.911337,0.934444,0.549896,1,0.947643,0.31935,0.0439889,0.0808714,0.0852577
1606610952,56.4611,53.6067,52.4338,51.6059,31.3477,17.7263,4.79583,4.79583,4.79583,4.79583,4.79583,4.79583,4.78675,4.53674,2.4716,0.0849405,0.0849405,0.0849405,0.0849405,0.0849405,0.0849405,0.914008,0.928671,0.555208,1,0.949444,0.313955,0.0437753,0.0803517,0.0847796
1606610953,57.9095,55.082,53.4234,53.1283,32.4195,17.8753,4.89898,4.89898,4.89898,4.89898,4.89898,4.89898,4.88758,4.60466,2.50574,0.0845971,0.0845971,0.0845971,0.0845971,0.0845971,0.0845971,0.917436,0.922531,0.55983,1,0.951173,0.308676,0.0432699,0.0795147,0.0844004
1606610954,59.3226,56.524,54.6796,54.3262,33.4544,18.007,5,5,5,5,5,5,4.99061,4.65969,2.52708,0.0842849,0.0842849,0.0842849,0.0842849,0.0842849,0.0842849,0.921732,0.915775,0.563939,1,0.952824,0.303543,0.042599,0.0785482,0.0841266
1606610955,60.7028,57.9344,56.1194,55.2833,34.4592,18.1238,5.09902,5.09902,5.09902,5.09902,5.09902,5.09902,5.09352,4.71428,2.54253,0.0839998,0.0839998,0.0839998,0.0839998,0.0839998,0.0839998,0.924495,0.91072,0.567671,1,0.954395,0.298567,0.0418849,0.0776617,0.0839092
1606610956,62.0522,59.3148,57.458,56.2829,35.4464,18.2284,5.19615,5.19615,5.19615,5.19615,5.19615,5.19615,5.19417,4.78001,2.55706,0.0837384,0.0837384,0.0837384,0.0837384,0.0837384,0.0837384,0.925962,0.907024,0.571235,1,0.955886,0.293758,0.0412081,0.077032,0.0837064
1606610957,63.373,60.6669,58.6676,57.354,36.4234,18.3224,5.2915,5.2915,5.2915,5.2915,5.2915,5.2915,5.29134,4.86533,2.57228,0.0834977,0.0834977,0.0834977,0.0834977,0.0834977,0.0834977,0.905023,0.92575,0.574747,1,0.957299,0.289119,0.0405896,0.076773,0.0834952
1606610958,64.667,61.9922,59.7357,58.5106,37.3953,18.4074,5.38516,5.38516,5.38516,5.38516,5.38516,5.38516,5.38482,4.97471,2.5866,0.0832753,0.0832753,0.0832753,0.0832753,0.0832753,0.0832753,0.904798,0.923744,0.578274,1,0.958638,0.284649,0.0399987,0.0769281,0.0832699
1606610959,65.9357,63.2921,60.6849,59.735,38.3584,18.4846,5.47723,5.47723,5.47723,5.47723,5.47723,5.47723,5.47504,5.10599,2.59936,0.0830691,0.0830691,0.0830691,0.0830691,0.0830691,0.0830691,0.905957,0.920364,0.581755,1,0.959906,0.280342,0.0394226,0.0774388,0.083036
