,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,Q_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0.0,0,0,1.5,0.0,0,10,1,10,0,15.0,12,73.0668544932,0.100414,0.100414,0.100414,0.100414,0.100414,0.100414,1,1,1.34822e-24,0.994946,0.994946,6.22805e-05,2.02293e-23,4.61273e-27,0.100414
1,1,6.0,0,0,0.0,0.0,0,10,1,20,1,,12,72.7468157539,0.100308,0.100308,0.100308,0.100308,0.100308,0.100308,1,1,2.0109e-25,0.994901,0.994901,6.37109e-05,3.79293e-28,2.139e-24,0.100308
2,1,12.0,0,0,0.0,0.0,0,10,1,30,2,,11,73.9420085696,0.0967729,0.0967729,0.0967729,0.0967729,0.0967729,0.0967729,1,1,1.54167e-26,0.995065,0.0,4.80886e-05,1.38275e-26,4.78061e-20,0.0967729
3,1,18.0,0,0,0.0,0.0,0,10,1,40,3,,11,75.9963608617,0.0916088,0.0916088,0.0916088,0.0916088,0.0916088,0.0916088,1,1,2.32002e-28,0.995328,0.0,4.16887e-05,5.07174e-27,4.63718e-19,0.0916088
4,1,24.0,0,0,0.0,0.0,0,10,1,50,4,,12,81.0236543992,0.0856198,0.0856198,0.0856198,0.0856198,0.0856198,0.0856198,1,1,1.31064e-26,0.995892,0.995892,3.32156e-05,3.1036e-28,1.36276e-19,0.0856198
5,1,30.0,0,0,0.0,0.0,0,10,1,60,5,,11,88.3019310912,0.0793976,0.0793976,0.0793976,0.0793976,0.0793976,0.0793976,1,1,2.07096e-26,0.996542,0.0,3.65286e-05,1.56825e-29,2.81865e-20,0.0793976
6,1,36.0,0,0,0.0,0.0,0,10,1,70,6,,11,93.0841697482,0.0733697,0.0733697,0.0733697,0.0733697,0.0733697,0.0733697,0,1,1.92776e-26,0.996888,0.996888,2.44734e-05,2.20895e-27,9.56277e-20,0.0733697
