,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,som_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,2,0,0,0,10.0,0.0,0,10,1,10,0,12,99.9010658639,10.1053,10.1053,10.1053,10.1053,10.1053,10.1053,100.0,100.0,4.51581e-24,99.4881,99.4881,0.00621491,8.52166e-21,3.18579e-24,10.1053
1,1,0,0,0,0.0,0.0,0,10,1,20,1,12,99.3896369521,10.1389,10.1389,10.1389,10.1389,10.1389,10.1389,99.4828,100.0,1.93474e-24,99.4828,99.4828,0.00620487,9.50463e-28,3.1171e-27,10.1389
2,2,0,0,0,-10.0,0.0,0,10,1,30,2,12,99.9010658639,10.1053,10.1053,10.1053,10.1053,10.1053,10.1053,100.0,100.0,3.37249e-24,99.4881,99.4881,0.0062213,1.07063e-19,5.97614e-27,10.1053
3,1,0,0,0,0.0,0.0,0,10,1,40,3,12,99.3897379053,10.1475,10.1475,10.1475,10.1475,10.1475,10.1475,99.4828,100.0,9.51256e-24,99.4838,99.4838,0.00621394,7.41683e-27,8.33619e-27,10.1475
4,2,0,0,0,0.0,10.0,0,10,1,50,4,12,99.8905667311,10.1053,10.1053,10.1053,10.1053,10.1053,10.1053,100.0,100.0,6.56623e-24,99.488,99.488,0.00656565,1.05906e-27,4.46127e-18,10.1053
5,1,0,0,0,0.0,0.0,0,10,1,60,5,12,99.3796425853,10.1357,10.1357,10.1357,10.1357,10.1357,10.1357,100.0,100.0,2.37115e-24,99.4827,99.4827,0.00645088,5.406e-26,1.85497e-26,10.1357
6,2,0,0,0,0.0,-10.0,0,10,1,70,6,12,99.5416724715,10.0953,10.0953,10.0953,10.0953,10.0953,10.0953,100.0,100.0,2.46338e-24,99.4844,99.4844,0.00657743,3.10916e-25,2.90187e-18,10.0953
7,1,0,0,0,0.0,0.0,0,10,1,80,7,12,99.5030073958,10.1185,10.1185,10.1185,10.1185,10.1185,10.1185,99.484,100.0,4.12682e-24,99.484,99.484,0.00657698,8.10921e-25,4.58329e-24,10.1185
