,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,0.0,0.0,0,10,1,10,0,11,13.1744555311,0.10188,0.10188,0.10188,0.10188,0.10188,0.10188,0.922889,1,1.1427e-22,0.99439,0.99439,6.33843e-05,2.65697e-26,5.49076e-27,0.10188
1,1,0,0,0,0.0,0.0,0,10,1,20,1,15,40.6738985126,0.103214,0.103214,0.103214,0.103214,0.103214,0.103214,0.984363,1,0.126444,0.994542,0.994543,0.000691422,0.00197687,0.00318464,0.103214
2,1,0,0,0,0.0,0.0,0,10,1,30,2,15,58.195555126,0.102723,0.102723,0.102723,0.102723,0.102723,0.102723,0.992382,1,0.101985,0.994663,0.994668,0.0031982,0.00188876,0.00277705,0.102723
3,1,0,0,0,0.0,0.0,0,10,1,40,3,15,71.5900397027,0.102469,0.102469,0.102469,0.102469,0.102469,0.102469,0.994963,1,0.0877398,0.994652,0.994714,0.00863118,0.00190817,0.00247567,0.102469
4,1,0,0,0,0.0,0.0,0,10,1,50,4,15,82.8585924476,0.102315,0.102315,0.102315,0.102315,0.102315,0.102315,0.99624,1,0.0781751,0.994632,0.99474,0.0134461,0.002049,0.00225421,0.102315
5,1,0,0,0,0.0,0.0,0,10,1,60,5,15,92.7728518545,0.10222,0.10222,0.10222,0.10222,0.10222,0.10222,0.997001,1,0.0718187,0.994627,0.994755,0.0157651,0.00212695,0.00209357,0.10222
