,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,1.5,0.0,0,10,1,10,0,12,13.1612418079,10.0414,10.0414,10.0414,10.0414,10.0414,10.0414,99.9986,100,1.3931e-21,99.4937,99.4937,0.00623286,1.07972e-20,5.06346e-24,10.0414
1,1,0,0,0,0.0,0.0,0,25,1,35,1,15,41.533770952,10.0622,10.0622,10.0622,10.0622,10.0622,10.0622,99.7114,100,4.19559,99.2068,99.4871,4.1251,0.419239,0.00621302,10.0622
2,1,0,0,0,0.0,0.0,0,25,1,60,2,15,77.116738979,10.1386,10.1386,10.1386,10.1386,10.1386,10.1386,99.7739,100,5.56441,99.2666,99.485,5.45805,0.554331,0.00837244,10.1386
