,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,som_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,2,0.0,0,0,10.0,0.0,0,10,1,10,0,12,8.37660831584,10.1053,10.1053,10.1053,10.1053,10.1053,10.1053,100.0,100.0,2.49434e-21,99.4881,99.4881,0.00621582,2.27248e-20,2.82444e-24,10.1053
1,1,36.0,0,0,0.0,0.0,0,50,1,60,1,15,26.7995361279,8.79039,8.79039,8.79039,8.79039,8.79039,8.79039,93.1196,93.1859,14.9727,99.5111,96.004,14.9339,0.0335009,1.49256,8.78946
2,1,72.0,0,0,0.0,0.0,0,25,1,85,2,15,75.0059253741,7.75811,7.75811,7.75811,7.75811,7.75811,7.75811,88.678,88.681,52.312,100.0,97.2769,18.2266,3.29378,7.72485,7.75777
