T,sv1,sv2,sv3,sv4,sv5,sv6,sv7,sv8,sv9,sv10,sv11,sv12,sv13,sv14,sv15,doo1,doo2,doo3,doo4,doo5,doo6,doo7,doo8,doo9,doo10,doo11,doo12,doo13,doo14,doo15
1605759497,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000615048,7.41022e-22,5.16388e-25,8.61489e-27,0.25,0.25,0.25,0.25,0.25,0.25,2.89228e+24,5.35983e+22,1.04288e+23,1.75582e+18,1.07284e+20,1.81774e+20,4.69288e+23,2.8347e+25,2.91674e+17
1605759498,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000611639,4.06593e-22,4.21998e-24,2.36839e-27,0.25,0.25,0.25,0.25,0.25,0.25,2.16845e+22,1.03226e+25,3.83586e+22,3.92423e+20,6.73461e+16,1.20562e+19,1.01101e+26,7.97504e+20,4.68041e+18
1605759499,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000610794,5.29015e-23,5.53856e-24,4.06273e-27,0.25,0.25,0.25,0.25,0.25,0.25,1.16372e+22,6.15205e+24,4.40508e+22,2.29722e+20,2.9066e+16,6.45609e+18,6.02546e+25,4.69102e+21,1.85436e+18
1605759500,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000611998,7.96816e-23,4.58079e-24,9.23723e-27,0.25,0.25,0.25,0.25,0.25,0.25,5.22173e+20,2.69699e+24,5.97593e+21,1.01555e+20,2.22809e+17,2.12792e+18,2.64149e+25,5.85267e+22,5.28655e+17
1605759500,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000606729,2.12594e-22,1.79993e-25,1.82531e-27,0.25,0.25,0.25,0.25,0.25,0.25,1.36368e+25,1.08545e+23,6.22488e+22,5.29401e+18,5.24608e+20,8.44792e+20,1.3667e+24,1.3356e+26,3.90155e+18
1605759501,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000605565,2.72376e-21,2.47954e-25,3.26616e-26,0.25,0.25,0.25,0.25,0.25,0.25,7.85688e+23,1.01722e+23,1.12878e+22,4.01269e+18,3.0369e+19,4.86295e+19,1.01508e+24,7.69354e+24,3.69649e+17
1605759502,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000603549,1.68894e-21,2.32502e-25,2.68438e-27,0.25,0.25,0.25,0.25,0.25,0.25,1.32505e+23,9.79973e+24,1.91615e+23,3.82169e+20,4.31787e+18,1.57221e+19,9.60017e+25,1.08472e+24,1.19563e+19
1605759502,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000601558,2.51545e-21,1.40866e-25,7.90171e-27,0.25,0.25,0.25,0.25,0.25,0.25,2.07913e+23,2.68395e+24,6.03156e+22,1.05516e+20,8.40255e+18,9.83467e+18,2.62894e+25,2.0936e+24,4.49177e+18
1605759503,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000603289,1.34495e-21,1.55222e-25,2.508e-27,0.25,0.25,0.25,0.25,0.25,0.25,1.44951e+23,1.02384e+25,2.02106e+23,3.99684e+20,6.60324e+18,5.11184e+18,1.00293e+26,1.65693e+24,1.74515e+19
1605759504,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000606798,2.47574e-22,3.17038e-24,9.84769e-28,0.25,0.25,0.25,0.25,0.25,0.25,7.91548e+22,2.6278e+25,2.9012e+23,1.01063e+21,3.05785e+17,4.09137e+19,2.57389e+26,7.74519e+22,4.81836e+19
1605759505,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000611334,4.98806e-23,3.32667e-24,1.10393e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.07044e+22,2.34428e+24,7.80993e+22,8.36757e+19,1.3231e+17,3.55367e+18,2.29615e+25,4.88073e+21,4.25184e+18
1605759506,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000614981,5.25674e-22,1.35151e-25,8.49073e-27,0.25,0.25,0.25,0.25,0.25,0.25,3.18126e+24,1.66376e+23,2.64255e+22,6.5455e+18,1.17941e+20,1.99813e+20,1.73678e+24,3.11532e+25,1.538e+18
1605759506,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000614101,2.2583e-21,8.50288e-26,2.16056e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.16729e+24,3.01025e+23,1.6098e+20,1.10442e+19,4.34995e+19,7.32183e+19,2.90715e+24,1.14432e+25,1.00804e+18
1605759507,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000615845,2.12716e-21,5.10367e-25,4.3441e-27,0.25,0.25,0.25,0.25,0.25,0.25,5.77011e+24,2.79406e+22,4.26331e+22,1.81849e+18,2.13088e+20,3.62814e+20,4.84183e+23,5.65139e+25,1.90753e+18
1605759508,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000617489,1.25525e-21,5.41279e-25,1.80644e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.3688e+24,4.1814e+22,1.49922e+22,1.71276e+18,5.01527e+19,8.62852e+19,4.61049e+23,1.34055e+25,3.63808e+16
1605759508,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000617707,4.03152e-21,3.47717e-25,1.45751e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.72104e+24,7.91255e+22,3.33012e+22,2.63598e+18,6.30202e+19,1.08617e+20,7.06328e+23,1.68625e+25,3.89497e+16
1605759509,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000616209,1.41549e-22,3.39459e-24,2.73836e-26,0.25,0.25,0.25,0.25,0.25,0.25,9.25846e+23,2.64852e+21,5.10853e+22,4.5221e+18,3.41239e+19,5.81613e+19,1.58544e+21,9.05451e+24,5.99586e+17
1605759510,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.0006141,6.18352e-22,2.43115e-24,1.24995e-27,0.25,0.25,0.25,0.25,0.25,0.25,9.1592e+22,2.01563e+25,1.81828e+23,7.50508e+20,3.76944e+17,1.36236e+19,1.97425e+26,9.9087e+22,4.36098e+19
1605759510,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000610573,1.18387e-22,3.19941e-24,4.08597e-27,0.25,0.25,0.25,0.25,0.25,0.25,2.62029e+22,6.38125e+24,7.21383e+22,2.36699e+20,3.73927e+16,3.87008e+18,6.24995e+25,2.23039e+21,1.7635e+19
1605759511,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000610595,5.89392e-23,4.80133e-24,1.0309e-27,0.25,0.25,0.25,0.25,0.25,0.25,1.07868e+23,2.48411e+25,4.05668e+22,9.36487e+20,3.55913e+16,9.67362e+18,2.43301e+26,4.05569e+21,6.20725e+19
1605759512,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000608354,1.59143e-21,1.65766e-25,4.09777e-27,0.25,0.25,0.25,0.25,0.25,0.25,6.01748e+24,1.31854e+23,1.04121e+23,6.07049e+18,2.2989e+20,3.73715e+20,1.55386e+24,5.8939e+25,3.22186e+18
1605759512,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.0006077,9.04891e-22,4.92256e-25,4.27008e-27,0.25,0.25,0.25,0.25,0.25,0.25,5.96195e+24,2.40117e+22,5.89893e+22,1.94935e+18,2.2841e+20,3.69922e+20,5.02691e+23,5.83938e+25,4.27133e+18
1605759513,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000608589,1.49212e-21,3.76956e-25,3.14963e-28,0.25,0.25,0.25,0.25,0.25,0.25,7.35648e+25,2.76951e+23,2.66618e+23,2.59005e+18,2.80749e+21,4.5712e+21,6.61833e+23,7.20519e+26,6.8514e+19
1605759514,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000608188,3.08344e-22,1.63463e-25,5.82291e-27,0.25,0.25,0.25,0.25,0.25,0.25,4.22222e+24,1.4143e+23,7.00905e+22,6.24174e+18,1.61407e+20,2.62296e+20,1.58586e+24,4.13518e+25,1.95473e+18
1605759515,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000608747,1.44064e-22,1.94608e-24,1.14713e-26,0.25,0.25,0.25,0.25,0.25,0.25,1.20716e+21,2.36152e+24,1.12613e+22,8.99515e+19,4.79172e+17,1.84599e+18,2.31292e+25,1.23562e+23,4.05772e+18
1605759515,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.0006092,3.78227e-22,1.72543e-25,1.53278e-27,0.25,0.25,0.25,0.25,0.25,0.25,1.71892e+25,5.89695e+22,4.03168e+23,5.5563e+18,6.54401e+20,1.06941e+21,1.4189e+24,1.68396e+26,1.02394e+19
1605759516,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000609187,3.99507e-22,7.31399e-24,4.62807e-28,0.25,0.25,0.25,0.25,0.25,0.25,2.69547e+23,5.436e+25,2.14465e+23,2.06704e+21,4.84216e+16,7.38542e+19,5.32424e+26,5.47257e+20,3.8991e+19
1605759517,9.84514,9.84514,9.79422,9.79422,1,1,1,1,1,1,1,0.000606273,1.35441e-21,2.35583e-25,3.71297e-26,0.25,0.25,0.25,0.25,0.25,0.25,6.97576e+23,1.05069e+23,1.94046e+22,4.1998e+18,2.68773e+19,4.32941e+19,1.06414e+24,6.82948e+24,1.44258e+17
