,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,som_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,2,0,0,0,10.0,0.0,0,10,1,10,0,12,11.3074066456,10.1053,10.1053,10.1053,10.1053,10.1053,10.1053,100.0,100.0,1.24998e-23,99.4881,99.4881,0.00621585,8.52166e-21,1.30542e-21,10.1053
1,1,0,0,0,0.0,0.0,0,10,1,20,1,15,35.7453494218,10.1087,10.1087,10.1087,10.1087,10.1087,10.1087,99.8802,100.0,1.21403,99.3645,99.4867,1.22608,0.124548,0.00248077,10.1087
2,2,0,0,0,-10.0,0.0,0,10,1,30,2,15,50.4426619133,10.1229,10.1229,10.1229,10.1229,10.1229,10.1229,99.6594,100.0,5.84145,99.1457,99.4873,5.84023,0.592218,0.00464986,10.1229
3,1,0,0,0,0.0,0.0,0,10,1,40,3,15,61.8206956442,10.1237,10.1237,10.1237,10.1237,10.1237,10.1237,99.6678,100.0,7.18653,99.154,99.4881,7.16799,0.726258,0.00746127,10.1237
4,2,0,0,0,0.0,10.0,0,10,1,50,4,15,71.3252433841,10.1321,10.1321,10.1321,10.1321,10.1321,10.1321,99.7635,100.0,7.27847,99.249,99.4885,7.25311,0.686712,0.160912,10.1321
5,1,0,0,0,0.0,0.0,0,10,1,60,5,15,79.6922848393,10.1387,10.1387,10.1387,10.1387,10.1387,10.1387,99.9155,99.9468,7.92996,99.4072,99.5246,6.99604,0.944089,0.740281,10.1387
6,2,0,0,0,0.0,-10.0,0,10,1,70,6,15,87.2102244161,10.1489,10.1489,10.1489,10.1489,10.1489,10.1489,100.0,99.9558,8.25213,99.4927,99.5704,6.99422,2.45998,2.05686,10.149
7,1,0,0,0,0.0,0.0,0,10,1,80,7,15,94.1817496229,10.1507,10.1507,10.1507,10.1507,10.1507,10.1507,100.0,99.8576,8.67751,99.5772,99.5721,7.20353,4.28102,3.34681,10.1539
