,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0.0,0,0,2.0,0.0,0,10,1,10,0,12,7.0136905967,9.95397,9.95397,9.95397,9.95397,9.95397,9.95397,99.9972,100.0,1.19055e-20,99.5025,99.5025,0.00625396,6.40821e-21,2.93712e-24,9.95397
1,1,24.0,0,0,0.0,0.0,0,25,1,35,1,15,22.156984578,8.3068,8.3068,8.3068,8.3068,8.3068,8.3068,89.953,91.6776,2.55204,99.5049,93.7926,2.43678,0.0132417,0.243193,8.2923
2,1,36.0,0,0,0.0,0.0,0,25,1,60,2,15,49.8397062212,7.26484,7.26484,7.26484,7.26484,7.26484,7.26484,86.2537,86.6102,59.0524,100.0,96.2092,23.801,3.12718,7.18893,7.26389
3,1,48.0,0,0,0.0,0.0,0,25,1,85,3,15,74.7963165942,6.39858,6.39858,6.39858,6.39858,6.39858,6.39858,83.0504,83.4052,71.0834,100.0,21.6445,97.2129,2.66189,6.36801,6.39762
