,command_type,yaw,pitch,roll,x,y,z,duration,gps_visibility,timestamp,motion_stage_id,SOM_rank,Q_rank,singular_value_max,pE,pN,pU,vE,vN,vU,thetaE,thetaN,thetaU,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
0,1,0,0,0,0.0,0.0,0,10,1,10,0,11,11,93.4642098336,0.10188,0.10188,0.10188,0.10188,0.10188,0.10188,1,1,4.48098e-28,0.994061,0.994061,6.20162e-05,7.41247e-28,1.88531e-29,0.10188
1,1,0,0,0,0.0,0.0,0,10,1,20,1,15,11,99.3535506404,0.101864,0.101864,0.101864,0.101864,0.101864,0.101864,1,1,7.30521e-29,0.994746,0.994746,6.20309e-05,2.45197e-27,1.53544e-25,0.101864
2,1,0,0,0,0.0,0.0,0,10,1,30,2,15,11,99.8588307566,0.101772,0.101772,0.101772,0.101772,0.101772,0.101772,1,1,2.8434e-28,0.9948,0.9948,6.20339e-05,4.35895e-25,4.08742e-25,0.101772
3,1,0,0,0,0.0,0.0,0,10,1,40,3,15,11,99.9421287468,0.101727,0.101727,0.101727,0.101727,0.101727,0.101727,1,1,5.39513e-29,0.994808,0.994808,6.20345e-05,2.15247e-24,9.60031e-26,0.101727
4,1,0,0,0,0.0,0.0,0,10,1,50,4,15,11,99.982404698,0.101712,0.101712,0.101712,0.101712,0.101712,0.101712,1,1,4.44018e-29,0.994812,0.994812,6.20346e-05,7.68264e-25,1.5574e-28,0.101712
5,1,0,0,0,0.0,0.0,0,10,1,60,5,15,11,99.9956266012,0.101707,0.101707,0.101707,0.101707,0.101707,0.101707,1,1,4.85148e-28,0.994814,0.994814,6.20347e-05,3.78751e-26,2.05248e-25,0.101707
